kd_suplier,kd_barang,gudang,qty
ASIAG01,QALAM01,Global,0
ASIAG01,AALAM02,Global,0
ARTHA01,AALAS01,Global,0
AGROD01,QALAT10,Global,0
AGROD01,AALAT02,Global,0
IMTAS01,QALAT08,Global,0
AGROD01,QALAT09,Global,1
IMTAS01,AALAT06,Global,0
IMTAS01,QALAT07,Global,0
SARAN04,AALAT08,Global,0
IMTAS01,QALAT21,Global,76
JAWAA01,AALAT01,Global,0
JAWAA01,QMESI01,Global,0
JAWAA01,QMESI02,Global,0
SARAN04,AALAT07,Global,0
IMTAS01,AALAT05,Global,0
IMTAS01,QALAT06,Global,0
SARAN04,QALAT19,Global,0
STARM01,QALAT20,Global,0
STARM01,AALAT04,Global,0
STARM01,QALAT11,Global,0
STARM01,QALAT01,Global,0
STARM01,QALAT16,Global,20
IMTAS01,QALAT13,Global,0
IMTAS01,QALAT12,Global,0
IMTAS01,QALAT15,Global,1449
STARM01,QALAT02,Global,0
IMTAS01,QALAT14,Global,0
STARM01,QALAT03,Global,0
STARM01,QALAT05,Global,0
STARM01,QALAT04,Global,0
STARM01,AALAT03,Global,0
IMTAS01,QALAT17,Global,73
IMTAS01,QALAT18,Global,31
MAJUM01,AALEX02,Global,0
MAJUM01,QALEX02,Global,0
MAJUM01,QALEX01,Global,0
AGROG01,QALFA01,Global,3680
AGROG01,AALFA04,Global,0
AGROG01,AALFA02,Global,0
AGROG01,QALFA02,Global,2828
AGROG01,AALFA03,Global,0
AGROG01,AALFA05,Global,0
MAJUM01,QALFA05,Global,0
JOHNN01,QALFA03,Global,0
AGROG01,QALFA04,Global,12084
AGROG01,AALFA01,Global,0
DELIS01,AALI-01,Global,0
DELIS01,QALI-01,Global,0
DELIS01,QALIR01,Global,0
SYNGE01,QALIK01,Global,10490
SYNGE01,AALIK03,Global,0
SYNGE01,QALIK02,Global,3988
SYNGE01,AALIK02,Global,0
SYNGE01,QALIK03,Global,8849
SYNGE01,AALIK01,Global,0
DUPON01,QALLY02,Global,0
DUPON01,AALLY02,Global,0
DUPON01,QALLY01,Global,0
DUPON01,AALLY01,Global,0
SINAR01,QALMI03,Global,0
SINAR01,QALMI01,Global,0
SINAR01,QALMI04,Global,0
SINAR01,QALMI02,Global,0
AGROT01,AALPH01,Global,0
AGROT01,AALPH02,Global,0
SARIK02,QALTA01,Global,0
SARIK02,AALTA01,Global,0
INDAG01,AALTR01,Global,0
SARIK02,QAMAB01,Global,1105
SARIK02,AAMAB02,Global,0
SARIK02,QAMAB02,Global,1176
SARIK02,AAMAB01,Global,0
TANIN01,QAMAN01,Global,0
TANIN01,QAMAN02,Global,0
TANIN01,QAMAN04,Global,0
TANIN01,QAMAN03,Global,0
ARTHA01,AAMAZ03,Global,0
ARTHA01,QAMAZ01,Global,204
ARTHA01,AAMAZ01,Global,0
ARTHA01,QAMAZ02,Global,0
ARTHA01,AAMAZ02,Global,0
BIOWO01,AAMBE01,Global,0
BIOWO01,QAMBE02,Global,801
BIOWO01,QAMBE01,Global,420
BIOWO01,AAMBE02,Global,0
BAYER01,QAMBI01,Global,0
ADILM01,QAMCO17,Global,9914
ADILM01,QAMCO19,Global,206
ADILM01,QAMCO18,Global,860
ADILM01,QAMCO02,Global,0
ADILM01,QAMCO01,Global,0
ADILM01,QAMCO09,Global,0
ADILM01,QAMCO11,Global,0
ADILM01,QAMCO10,Global,0
ADILM01,QAMCO04,Global,0
ADILM01,QAMCO03,Global,0
ADILM01,CAMCO03,Global,0
ADILM01,CAMCO05,Global,0
ADILM01,CAMCO07,Global,0
ADILM01,CAMCO06,Global,0
ADILM01,AAMCO05,Global,0
ADILM01,QAMCO12,Global,86
ADILM01,QAMCO13,Global,0
ADILM01,AAMCO04,Global,0
ADILM01,QAMCO16,Global,0
ADILM01,AAMCO02,Global,0
ADILM01,QAMCO05,Global,0
NONAM01,CAMCO04,Global,0
ADILM01,QAMCO15,Global,0
ADILM01,AAMCO03,Global,0
ADILM01,QAMCO07,Global,0
ADILM01,CAMCO01,Global,0
ADILM01,AAMCO01,Global,0
ADILM01,QAMCO06,Global,0
ADILM01,CAMCO02,Global,0
ADILM01,QAMCO14,Global,0
ADILM01,QAMCO08,Global,0
INTER01,AAMEG01,Global,0
INTER01,QAMEG01,Global,2801
ROYAL01,QAMET01,Global,0
ROYAL01,AAMET01,Global,0
ROYAL01,QAMET03,Global,0
ROYAL01,QAMET02,Global,0
ADILM01,QAMFO01,Global,0
ADILM01,QAMFU01,Global,0
CHEIL01,QAMIB06,Global,385
CHEIL01,AAMIB01,Global,335
CHEIL01,QAMIB05,Global,641
CHEIL01,QAMIB04,Global,269
CHEIL01,AAMIB04,Global,0
CHEIL01,AAMIB02,Global,265
CHEIL01,QAMIB03,Global,567
CHEIL01,AAMIB07,Global,0
CHEIL01,QAMIB02,Global,307
CHEIL01,AAMIB05,Global,2
CHEIL01,AAMIB03,Global,185
CHEIL01,QAMIB01,Global,405
CHEIL01,AAMIB06,Global,0
TRIMA01,AAMIC01,Global,11
MAJUM01,QAMIN03,Global,0
AGROG01,QAMIN01,Global,0
AGROG01,AAMIN01,Global,0
MAJUM01,QAMIN02,Global,0
AGROG01,QAMIN05,Global,100
AGROG01,QAMIN04,Global,199
NONAM01,AAMIN05,Global,0
AGROG01,AAMIN04,Global,4
SYNGE01,QAMIS01,Global,5
SYNGE01,AAMIS01,Global,9
SYNGE01,QAMIS03,Global,47651
SYNGE01,AAMIS02,Global,0
SYNGE01,QAMIS02,Global,20933
SYNGE01,AAMIS03,Global,0
BIOWO01,AAMIT01,Global,0
BIOWO01,QAMIT01,Global,0
DUPON01,QAMMA02,Global,0
BINAG01,QAMMA04,Global,0
BINAG01,AAMMA03,Global,0
DUPON01,QAMMA01,Global,0
DUPON01,AAMMA01,Global,0
BINAG01,QAMMA03,Global,0
BINAG01,AAMMA02,Global,0
KERTO01,QAMMO01,Global,0
ADVAN01,QAMOL01,Global,9682
ADVAN01,AAMOL01,Global,70
ADVAN01,QAMOL02,Global,5278
ADVAN01,AAMOL02,Global,0
KERTO01,QAMOP01,Global,0
MITRA01,QAMOR01,Global,0
MITRA01,CAMOR01,Global,0
MITRA01,QAMOR02,Global,0
ADVAN01,QAMOT04,Global,0
ADVAN01,QAMOT03,Global,0
ADVAN01,QAMOT01,Global,0
ADVAN01,AAMOT02,Global,0
ADVAN01,QAMOT02,Global,0
ADVAN01,AAMOT01,Global,0
TIGAM01,QAMPA01,Global,2425
TIGAM01,QAMPA02,Global,77
TIGAM01,QAMPA03,Global,144
SYNGE01,QAMPL01,Global,0
BINAN01,QAMUN02,Global,0
BINAN01,QAMUN01,Global,0
BINAN01,QAMUN03,Global,0
ADVAN01,AAMUR02,Global,0
ADVAN01,QAMUR01,Global,754
ADVAN01,AAMUR04,Global,0
ADVAN01,AAMUR01,Global,0
ADVAN01,QAMUR02,Global,210
ADVAN01,AAMUR03,Global,0
MITRA01,QANDR02,Global,168
MITRA01,AANDR01,Global,0
MITRA01,QANDR03,Global,230
MITRA01,AANDR02,Global,0
MITRA01,QANDR01,Global,1115
MITRA01,AANDR03,Global,0
NONAM01,ZZAND01,Global,0
NONAM01,ZZANDRO01,Global,0
FAMIN01,AANET02,Global,0
MAJUM01,AANET10,Global,0
JOHNN01,AANET01,Global,0
MAJUM01,QANET06,Global,0
MAJUM01,AANET08,Global,0
JOHNN01,QANET01,Global,0
MAJUM01,QANET03,Global,0
MAJUM01,AANET05,Global,0
MAJUM01,QANET07,Global,1217
MAJUM01,AANET11,Global,0
JOHNN01,QANET02,Global,0
JOHNN01,AANET03,Global,0
MAJUM01,QANET04,Global,1072
MAJUM01,AANET06,Global,0
MAJUM01,QANET05,Global,0
MAJUM01,AANET07,Global,0
MAJUM01,QANET08,Global,726
MAJUM01,AANET09,Global,0
JOHNN01,AANET04,Global,0
ADVAN01,QANMI01,Global,200
ADVAN01,AANPH01,Global,0
ADVAN01,QANPH01,Global,0
SARIK01,AANTA01,Global,0
SARIK01,AANTA02,Global,0
SARIK01,AANTA06,Global,0
DELIS01,AANTA07,Global,0
DELIS01,AANTA05,Global,0
DELIS01,AANTA03,Global,0
DELIS01,AANTA04,Global,0
NONAM01,ZZANTE01,Global,0
BAYER01,QANTR01,Global,0
BAYER01,AANTR01,Global,0
BAYER01,QANTR02,Global,127
BAYER01,AANTR02,Global,0
BAYER01,QANTR03,Global,360
BAYER01,AANTR03,Global,0
BAYER01,QANTR04,Global,0
SYNGE01,QANVI01,Global,0
SYNGE01,AANVI02,Global,0
SYNGE01,QANVI02,Global,20
SYNGE01,AANVI01,Global,0
SARIK02,AANWA01,Global,0
SARIK02,QANWA02,Global,0
SARIK02,QANWA01,Global,0
SARIK02,QANWA03,Global,0
SYNGE01,QAPIR02,Global,0
SYNGE01,QAPIR01,Global,0
ADVAN01,QAPIS02,Global,0
ADVAN01,AAPIS01,Global,0
ADVAN01,QAPIS01,Global,0
NONAM01,AAPOG01,Global,0
PETRO01,QAPPL01,Global,6291
PETRO01,AAPPL03,Global,0
INDAG01,AAPPL01,Global,0
PETRO01,AAPPL04,Global,0
PETRO01,QAPPL02,Global,6963
PETRO01,AAPPL02,Global,0
ADVAN01,QAPRO01,Global,0
ADVAN01,AAPRO01,Global,0
ADVAN01,QAPRO05,Global,0
ADVAN01,QAPRO02,Global,0
ADVAN01,AAPRO02,Global,0
ROYAL01,QAPRO03,Global,0
ROYAL01,QAPRO04,Global,0
ROYAL01,AAPRO03,Global,0
ADVAN01,QAREN01,Global,38332
ADVAN01,AAREN02,Global,0
ARTHA01,AARIZ02,Global,0
ARTHA01,QARIZ02,Global,0
ARTHA01,AARIZ03,Global,5
ARTHA01,QARIZ01,Global,6
MITRA26,AARIZ01,Global,2
BELIR01,AARJU01,Global,0
BELIR01,QARJU01,Global,0
BELIR01,AARJU02,Global,0
BELIR01,QARJU03,Global,0
BELIR01,QARJU02,Global,0
NONAM01,AARMA02,Global,0
AGRON01,QARMA01,Global,1491
AGRON01,AARMA01,Global,7
MITRA09,QARME01,Global,25049
MITRA09,AARME01,Global,47
BINAG01,QARRI02,Global,0
BINAG01,QARRI03,Global,0
BINAG01,QARRI01,Global,0
SARIK02,AARTO01,Global,0
SARIK02,AARTO02,Global,0
LTS 01,AASAM01,Global,7
TUNAS05,QASET04,Global,690
TUNAS05,AASET03,Global,0
TUNAS05,QASET03,Global,1930
DELIS01,AASET02,Global,0
DELIS01,QASET02,Global,1011
DELIS01,QASET01,Global,0
DELIS01,AASET01,Global,0
ASIAN01,AASIA04,Global,0
ASIAN01,AASIA01,Global,0
ASIAN01,AASIA03,Global,0
ASIAN01,QASIA01,Global,3335
ASIAN01,AASIA02,Global,0
ASIAN01,QASIA03,Global,77
ASIAN01,QASIA02,Global,368
ASIAN01,QASIA05,Global,250
ASIAN01,QASIA08,Global,116
ASIAN01,AASIA06,Global,0
ASIAN01,QASIA06,Global,446
ASIAN01,AASIA07,Global,0
ASIAN01,QASIA07,Global,60
ASIAN01,AASIA08,Global,0
ASIAN01,AASIA05,Global,0
ASIAN01,QASIA04,Global,0
ADVAN01,AASLI01,Global,0
ADVAN01,QASLI02,Global,1991
ADVAN01,QASLI01,Global,7041
AGROS03,AASME01,Global,0
NUFAR01,AASSO01,Global,0
NUFAR01,QASSO01,Global,4946
NUFAR01,AASSO03,Global,0
NUFAR01,AASSO02,Global,0
NUFAR01,AASSO04,Global,0
NUFAR01,QASSO02,Global,6062
SINAR01,QASTA04,Global,0
SINAR01,QASTA03,Global,0
SINAR01,AASTA02,Global,0
SINAR01,QASTA02,Global,885
SINAR01,QASTA01,Global,0
SINAR01,AASTA01,Global,0
SYNGE01,QATAB01,Global,0
SYNGE01,QATAB02,Global,0
ADVAN01,QATHO01,Global,0
ADVAN01,AATHO01,Global,0
ADVAN01,QATHO02,Global,0
ADVAN01,AATHO02,Global,0
ADVAN01,QATNI03,Global,0
ADVAN01,QATN02,Global,0
ADVAN01,QATNI01,Global,0
MITOK01,AATON06,Global,0
MITOK01,QATON06,Global,0
MITOK01,AATON05,Global,35
MITOK01,QATON07,Global,20832
MITOK01,AATON07,Global,0
MITOK01,QATON09,Global,3485
OATMI01,AATON08,Global,0
MITOK01,QATON08,Global,22105
MITOK01,QATON04,Global,0
MITOK01,AATON04,Global,0
MITOK01,QATON01,Global,0
MITOK01,AATON01,Global,0
MITOK01,QATON02,Global,0
MITOK01,AATON02,Global,0
MITOK01,AATON03,Global,0
MITOK01,QATON03,Global,0
MITOK01,QATON05,Global,0
NUFAR01,AATRA01,Global,0
NUFAR01,QATRA01,Global,0
SURYA02,AATRI02,Global,0
SURYA02,AATRI01,Global,0
NATHA01,QATRI01,Global,0
NATHA01,QATRI02,Global,0
NATHA01,AATRI03,Global,0
NATHA01,QATRI03,Global,0
NATHA01,AATRI04,Global,0
TANIN01,QAURO01,Global,0
TANIN01,AAURO01,Global,0
TANIN01,QAURO02,Global,0
TANIN01,AAURO02,Global,0
TANIN01,QAURO03,Global,264
TANIN01,AAURO03,Global,0
CATUR01,QAVIA01,Global,0
CATUR01,AAVIA01,Global,0
SAPRO01,QAVID01,Global,56125
SAPRO01,AAVID01,Global,0
TUNAS05,AAVOR01,Global,0
TUNAS05,QAVOR01,Global,0
ANMDE01,QAXER01,Global,0
ANMDE01,QAXER02,Global,0
JAWAA01,QAXIA01,Global,1000
ADVAN01,QAYUN01,Global,0
ADVAN01,QAYUN02,Global,115
ADVAN01,QAZAT02,Global,0
ADVAN01,QAZAT01,Global,0
ADVAN01,AAZAT01,Global,0
ADVAN01,QAZIZI01,Global,240
BEHNM02,QAZOM01,Global,0
BEHNM02,AAZOM01,Global,0
BEHNM02,QAZOM02,Global,0
TANIN01,QAZOX03,Global,0
TANIN01,QAZOX02,Global,0
TANIN01,QAZOX01,Global,0
TANIN01,AAZOX01,Global,0
SINAR13,QAZTR01,Global,400
SINAR13,AAZTR01,Global,0
BEHNM01,QBM B02,Global,0
BEHNM01,QBM B01,Global,0
BEHNM01,QBM C03,Global,0
BEHNM01,QBM C02,Global,0
BEHNM01,QBMCA01,Global,100
BEHNM01,ABM C02,Global,0
BEHNM01,QBM C04,Global,0
BEHNM01,ABM C01,Global,0
BEHNM01,QBM C01,Global,0
BEHNM01,ABM E01,Global,0
BEHNM01,QBM E01,Global,0
BEHNM01,QBM E03,Global,0
BEHNM01,QBM E02,Global,0
BEHNM01,QBM F01,Global,0
BEHNM01,ABM F01,Global,0
BEHNM01,QBM H01,Global,0
BEHNM01,ABM H01,Global,0
BEHNM01,QBM J01,Global,4755
BEHNM01,ABM J01,Global,0
BEHNM01,QBML01,Global,2972
BEHNM01,ABM L01,Global,0
BEHNM01,QBM P03,Global,0
BEHNM01,QBM P02,Global,9398
BEHNM01,QBM P01,Global,848
BEHNM01,QBM S01,Global,0
BEHNM01,QBM S02,Global,0
BEHNM01,QBM V01,Global,0
BEHNM01,ABM V01,Global,0
BEHNM01,QBM V02,Global,0
BEHNM01,QBM Z01,Global,2002
NONAM01,ZZBAAL01,Global,350
SARIK02,QBABL01,Global,0
SARIK02,CBABL03,Global,0
SARIK02,QBABL06,Global,0
SARIK02,QBABL04,Global,0
SARIK02,QBABL07,Global,0
SARIK02,CBABL04,Global,0
SARIK02,QBABL02,Global,0
SARIK02,CBABL02,Global,0
SARIK02,QBABL03,Global,0
SARIK02,CBABL01,Global,0
SARIK02,QBABL05,Global,0
LESTA01,QBACT02,Global,9812
LESTA01,ABACT04,Global,0
LESTA01,ABACT01,Global,0
LESTA01,QBACT01,Global,9904
LESTA01,ABACT02,Global,0
LESTA01,ABACT03,Global,0
SARAN04,ABAFI01,Global,0
NONAM01,ABAFI02,Global,2
N/A,ABAGJ01,Global,0
NONAM01,QBAGJA01,Global,66688
SURAB01,QBAGN01,Global,45597
NONAM01,ZZBAJU02,Global,155
NONAM01,ZZBAJU03,Global,0
NONAM01,ZZBAJU05,Global,0
NONAM01,ZZBAJU01,Global,29
NONAM01,ZZBAJU04,Global,0
BERSA01,QBAKA01,Global,0
BERSA01,QBAKA03,Global,0
NONAM01,QBAKA02,Global,0
ZENIT01,QBALE01,Global,509
ZENIT01,QBALE02,Global,578
ETONG01,QBALT01,Global,0
ETONG01,QBALT02,Global,0
BIOAG01,QBAMB01,Global,0
BIOAG01,ABAMB01,Global,0
MAJUM01,QBAME05,Global,0
MAJUM01,ABAME07,Global,0
MAJUM01,QBAME01,Global,2121
MAJUM01,ABAME03,Global,0
MAJUM01,ABAME06,Global,0
JOHNN01,QBAME02,Global,0
MAJUM01,QBAME03,Global,751
MAJUM01,ABAME04,Global,0
JOHNN01,ABAME01,Global,0
MAJUM01,QBAME04,Global,4380
MAJUM01,ABAME02,Global,100
MAJUM01,ABAME05,Global,0
NONAM01,ZZBAND01,Global,0
RABAN01,ABAND01,Global,0
RABAN01,QBAND01,Global,0
NONAM01,ABANN01,Global,0
NONAM01,ZZBANN05,Global,0
NONAM01,ZZBANN03,Global,27
NONAM01,ZZBANN04,Global,0
NONAM01,ZZBANN02,Global,0
NONAM01,ZZBANN01,Global,0
ADILM01,ATAAM01,Global,0
BEHNM01,QBASA01,Global,0
BEHNM01,QBASA02,Global,0
BERB01,CBASC01,Global,0
BEHNM01,QBASF04,Global,206
BEHNM01,ABASF05,Global,0
BEHNM01,ABASF02,Global,0
BEHNM01,QBASF02,Global,0
BEHNM01,ABASF03,Global,0
BEHNM01,QBASF03,Global,1087
BEHNM01,QBASF06,Global,0
BEHNM01,QBASF05,Global,0
BEHNM01,ABASF04,Global,0
BEHNM01,ABASF01,Global,10
BEHNM01,QBASF01,Global,307
BERB01,QBASG01,Global,1206
BERB01,QBASG04,Global,165
BERB01,QBASG02,Global,0
BERB01,QBASG03,Global,1908
CENTA01,QBASI01,Global,0
SARIK02,QBASM01,Global,0
PETRO01,QBASM02,Global,0
BERB01,QBASR03,Global,1785
BERB01,QBASR02,Global,79
BERB01,QBASR01,Global,570
BERB01,ABASR01,Global,50
PETRO01,QBASS01,Global,0
BASFI01,QBAST02,Global,0
BAYER01,QBAST01,Global,0
AGROI01,QBAST03,Global,192
STARM01,ABATE01,Global,0
STARM01,QBATE01,Global,0
SARAN04,QBATT01,Global,8
WIDJA01,ABAUT01,Global,100
GOLDE01,ABAUT02,Global,18
GOLDE01,ABAUT03,Global,6
BENIH01,QBAWA01,Global,0
ALISH01,ABAYA01,Global,0
BENIH01,QBAYA11,Global,0
BENIH01,QBAYA10,Global,0
BENIH01,QBAYA01,Global,0
BENIH01,ABAYA02,Global,0
BENIH01,QBAYA08,Global,0
BENIH01,QBAYA02,Global,0
BENIH01,ABAYA03,Global,0
NONAM01,QBAYA13,Global,0
BENIH01,QBAYA12,Global,0
BENIH01,QBAYA03,Global,0
BENIH01,ABAYA06,Global,0
BENIH01,QBAYA25,Global,0
BENIH01,QBAYA04,Global,0
BISII01,QBAYA07,Global,0
BENIH01,ABAYA05,Global,0
BENIH01,QBAYA06,Global,0
BENIH01,QBAYA09,Global,0
BENIH01,QBAYA05,Global,0
ALISH01,ABAYA04,Global,0
BAYER01,QBAYC02,Global,0
BAYER01,ABAYC02,Global,0
BAYER01,ABAYC01,Global,0
BAYER01,QBAYC01,Global,2709
BAYER01,QBAYF01,Global,0
BAYER01,ABAYF01,Global,0
BAYER01,QBAYF02,Global,0
BAYER01,QBAYL01,Global,0
BAYER01,ABAYL01,Global,0
SINAR01,CBAZA01,Global,0
SINAR01,CBAZA02,Global,0
AGRIC01,ABAZO01,Global,0
AGRIC01,QBAZO01,Global,0
DHARM03,QBEEN06,Global,0
DHARM03,QBEEN07,Global,0
DHARM03,ABEEN01,Global,0
DHARM03,QBEEN03,Global,0
DHARM03,QBEEN01,Global,0
DHARM03,ABEEN03,Global,0
DHARM03,QBEEN09,Global,359
DHARM03,QBEEN02,Global,337
DHARM03,ABEEN02,Global,0
DHARM03,QBEEN05,Global,0
DHARM03,QBEEN04,Global,0
DHARM03,QBEEN08,Global,228
CATUR01,ABEET01,Global,0
CATUR01,QBEET02,Global,0
CATUR01,ABEET02,Global,0
CATUR01,QBEET01,Global,0
CATUR01,QBEET03,Global,0
BEHNM01,QBEHN01,Global,0
INDOA01,QBEKA01,Global,656
TANAM01,ABELL01,Global,0
TANAM01,QBELL01,Global,859
TANAM01,QBELL02,Global,812
SARIK01,ABELO01,Global,0
SARIK01,ABELO02,Global,0
SARIK01,QBELO01,Global,0
BAYER01,QBELT01,Global,0
BAYER01,ABELT03,Global,0
BAYER01,QBELT03,Global,0
BAYER01,QBELT02,Global,0
BAYER01,ABELT01,Global,0
WIDJA01,ABELT02,Global,9
ASIAN01,CBENU01,Global,0
ASIAN01,CBENU03,Global,0
ASIAN01,CBENU02,Global,0
ASIAN01,CBENU04,Global,0
KARUN03,QBENA01,Global,42
KARUN03,ABENA01,Global,0
KARUN03,CBENA01,Global,0
ASIAN01,QBENC01,Global,162
ASIAN01,ABENC01,Global,0
ASIAN01,QBENC02,Global,148
N/A,ABENC03,Global,0
ASIAN01,ABENC02,Global,0
